Word,Rank,Frequency
the,1,64023
and,2,51696
of,3,34670
to,4,13580
that,5,12912
in,6,12667
he,7,10419
shall,8,9838
unto,9,8997
for,10,8971
i,11,8854
his,12,8473
a,13,8177
lord,14,7964
they,15,7376
be,16,7013
is,17,6989
him,18,6659
not,19,6596
them,20,6430
it,21,6129
with,22,6012
all,23,5620
thou,24,5474
thy,25,4600
was,26,4522
god,27,4472
which,28,4413
my,29,4368
me,30,4096
said,31,3999
but,32,3992
ye,33,3983
their,34,3942
have,35,3904
will,36,3836
thee,37,3827
from,38,3642
as,39,3520
are,40,2950
when,41,2834
this,42,2785
out,43,2775
were,44,2772
upon,45,2748
man,46,2735
by,47,2624
you,48,2617
israel,49,2575
king,50,2543
son,51,2392
up,52,2380
there,53,2299
hath,54,2264
then,55,2169
people,56,2143
came,57,2093
had,58,2026
house,59,2024
into,60,2015
on,61,2011
her,62,1995
come,63,1971
one,64,1969
we,65,1844
children,66,1821
before,67,1796
s,68,1790
your,69,1785
also,70,1769
day,71,1743
land,72,1718
an,73,1699
so,74,1689
men,75,1677
against,76,1667
shalt,77,1616
if,78,1595
at,79,1570
let,80,1511
go,81,1492
hand,82,1466
us,83,1451
saying,84,1445
made,85,1405
went,86,1400
no,87,1394
even,88,1393
do,89,1368
now,90,1356
behold,91,1326
saith,92,1262
therefore,93,1237
every,94,1236
these,95,1225
because,96,1209
after,97,1179
our,98,1171
things,99,1162
father,100,1127
down,101,1125
or,102,1122
sons,103,1094
hast,104,1070
o,105,1065
david,106,1064
say,107,1056
make,108,1056
may,109,1027
over,110,1008
did,111,1006
earth,112,987
what,113,985
jesus,114,983
she,115,982
who,116,968
great,117,962
name,118,958
thine,119,938
among,120,916
away,121,915
any,122,912
put,123,911
thereof,124,906
forth,125,888
give,126,880
neither,127,879
am,128,874
take,129,874
days,130,868
city,131,868
brought,132,863
moses,133,852
two,134,837
heart,135,833
pass,136,830
judah,137,816
jerusalem,138,814
according,139,797
should,140,783
whom,141,763
know,142,763
nor,143,755
took,144,750
thus,145,737
bring,146,725
offering,147,724
good,148,720
place,149,716
word,150,699
set,151,695
more,152,686
sent,153,685
yet,154,683
again,155,672
like,156,669
way,157,664
eat,158,655
mine,159,649
heard,160,641
called,161,634
about,162,632
time,163,623
evil,164,613
holy,165,611
egypt,166,611
see,167,597
own,168,596
hundred,169,590
spake,170,587
heaven,171,583
christ,172,571
done,173,565
brethren,174,564
many,175,556
hear,176,550
fire,177,549
fathers,178,548
saw,179,548
words,180,546
priest,181,544
how,182,543
thing,183,542
years,184,539
himself,185,527
law,186,523
