Author,Publish Date,Total Shares
"By MICHAEL S. SCHMIDT, MARK MAZZETTI and MATT APUZZO",2017-02-14,1
By GLENN THRUSH and MAGGIE HABERMAN,2017-02-05,2
By CHARLES J. SYKES,2017-02-04,3
"By MATTHEW ROSENBERG, ADAM GOLDMAN and MICHAEL S. SCHMIDT",2017-03-01,4
By DAVID BROOKS,2017-01-31,5
By EMMARIE HUETTEMAN and YAMICHE ALCINDOR,2017-02-07,6
By THOMAS L. FRIEDMAN,2017-02-14,7
By KEVIN CAREY,2017-02-23,8
By MICHAEL KIMMELMAN,2017-02-17,9
By JULIE HIRSCHFELD DAVIS and MICHAEL M. GRYNBAUM,2017-02-24,10
By ANDREW ROSS SORKIN,2017-02-06,11
By JUGAL K. PATEL,2017-02-07,12
"By MAGGIE HABERMAN, MATTHEW ROSENBERG, MATT APUZZO and GLENN THRUSH",2017-02-13,13
By KENNETH CHANG,2017-02-22,14
By THE NEW YORK TIMES,2017-02-07,15
By DAVID BROOKS,2017-02-17,16
By SEWELL CHAN,2017-02-19,17
By DENISE GRADY,2017-01-05,18
,2017-02-13,19
By KIMIKO de FREYTAS-TAMURA,2017-02-03,20
