,IATA_CODE,AIRPORT,CITY,LATITUDE,LONGITUDE,IATA_CODE,YEAR
,,,,,,len,len
,,,,,,,
0,ABE,Lehigh Valley International Airport,Allentown,40.652359999999994,-75.4404,2274,2274
1,ABI,Abilene Regional Airport,Abilene,32.41132,-99.6819,2329,2329
2,ABQ,Albuquerque International Sunport,Albuquerque,35.04022,-106.60918999999998,19192,19192
3,ABR,Aberdeen Regional Airport,Aberdeen,45.449059999999996,-98.42183,671,671
4,ABY,Southwest Georgia Regional Airport,Albany,31.53552,-84.19447,876,876
5,ACK,Nantucket Memorial Airport,Nantucket,41.25305,-70.06018,492,492
6,ACT,Waco Regional Airport,Waco,31.611290000000004,-97.23052,1612,1612
7,ACV,Arcata Airport,Arcata/Eureka,40.978120000000004,-124.10862,1320,1320
8,ACY,Atlantic City International Airport,Atlantic City,39.45758,-74.57717,3572,3572
9,ADK,Adak Airport,Adak,51.877959999999995,-176.64603,96,96
10,ADQ,Kodiak Airport,Kodiak,57.74997,-152.49386,460,460
11,AEX,Alexandria International Airport,Alexandria,31.327370000000002,-92.54856,3146,3146
12,AGS,Augusta Regional Airport (Bush Field),Augusta,33.36996,-81.9645,2361,2361
13,AKN,King Salmon Airport,King Salmon,58.6768,-156.64921999999999,63,63
14,ALB,Albany International Airport,Albany,42.74812,-73.80298,7459,7459
15,ALO,Waterloo Regional Airport,Waterloo,42.55708,-92.40034,617,617
16,AMA,Rick Husband Amarillo International Airport,Amarillo,35.21937,-101.70593000000001,4214,4214
17,ANC,Ted Stevens Anchorage International Airport,Anchorage,61.174319999999994,-149.99618999999998,16005,16005
18,APN,Alpena County Regional Airport,Alpena,45.078070000000004,-83.56029000000001,573,573
19,ASE,Aspen-Pitkin County Airport,Aspen,39.22316,-106.86885,3562,3562
20,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,33.640440000000005,-84.42694,346836,346836
21,ATW,Appleton International Airport,Appleton,44.25741,-88.51948,2848,2848
22,AUS,Austin-Bergstrom International Airport,Austin,30.19453,-97.66986999999999,42067,42067
23,AVL,Asheville Regional Airport,Asheville,35.43619,-82.54181,2745,2745
24,AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,41.33815,-75.72426999999999,1359,1359
25,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,42.23488,-85.55206,1845,1845
26,BDL,Bradley International Airport,Windsor Locks,41.93887,-72.68323000000001,18799,18799
27,BET,Bethel Airport,Bethel,60.77978,-161.838,896,896
28,BFL,Meadows Field,Bakersfield,35.4336,-119.05677,2637,2637
29,BGM,Greater Binghamton Airport,Binghamton,42.20848,-75.97961,262,262
30,BGR,Bangor International Airport,Bangor,44.80744,-68.82814,366,366
31,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,33.562940000000005,-86.75355,12514,12514
32,BIL,Billings Logan International Airport,Billings,45.80766,-108.54286,2866,2866
33,BIS,Bismarck Municipal Airport,Bismarck,46.77411,-100.74672,3453,3453
34,BJI,Bemidji Regional Airport,Bemidji,47.50942,-94.93372,667,667
35,BLI,Bellingham International Airport,Bellingham,48.79275,-122.53753,711,711
36,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,40.477990000000005,-88.91595,2730,2730
37,BNA,Nashville International Airport,Nashville,36.12448,-86.67818,47580,47580
38,BOI,Boise Airport (Boise Air Terminal),Boise,43.564440000000005,-116.22278,11655,11655
39,BOS,Gen. Edward Lawrence Logan International Airport,Boston,42.36435,-71.00518000000001,107847,107847
40,BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,29.95083,-94.02069,973,973
41,BQK,Brunswick Golden Isles Airport,Brunswick,31.25903,-81.46631,878,878
42,BQN,Rafael Hernández Airport,Aguadilla,18.49486,-67.12944,1343,1343
43,BRD,Brainerd Lakes Regional Airport,Brainerd,46.397859999999994,-94.13723,589,589
